"protein","Time","Cow","Diet"
3.68,14,"BL14","barley+lupins"
3.4,15,"BL14","barley+lupins"
3.54,16,"BL14","barley+lupins"
3.66,17,"BL14","barley+lupins"
3.52,18,"BL14","barley+lupins"
3.4,19,"BL14","barley+lupins"
4.02,1,"BL15","barley+lupins"
3.45,2,"BL15","barley+lupins"
3.28,3,"BL15","barley+lupins"
3.31,4,"BL15","barley+lupins"
3.37,5,"BL15","barley+lupins"
3.26,6,"BL15","barley+lupins"
3.25,7,"BL15","barley+lupins"
3.48,8,"BL15","barley+lupins"
3.23,9,"BL15","barley+lupins"
3.03,10,"BL15","barley+lupins"
2.8,11,"BL15","barley+lupins"
3.17,12,"BL15","barley+lupins"
3.04,13,"BL15","barley+lupins"
3.05,14,"BL15","barley+lupins"
3.18,1,"BL16","barley+lupins"
3.12,2,"BL16","barley+lupins"
2.87,3,"BL16","barley+lupins"
3.04,4,"BL16","barley+lupins"
2.88,5,"BL16","barley+lupins"
3.08,6,"BL16","barley+lupins"
3.15,7,"BL16","barley+lupins"
3.22,8,"BL16","barley+lupins"
3.2,9,"BL16","barley+lupins"
3.46,10,"BL16","barley+lupins"
3.33,11,"BL16","barley+lupins"
3.26,12,"BL16","barley+lupins"
3.4,13,"BL16","barley+lupins"
3.36,14,"BL16","barley+lupins"
3.97,15,"BL16","barley+lupins"
3.2,16,"BL16","barley+lupins"
3.1,17,"BL16","barley+lupins"
3.19,18,"BL16","barley+lupins"
3.1,19,"BL16","barley+lupins"
4.11,1,"BL17","barley+lupins"
4.09,2,"BL17","barley+lupins"
3.54,3,"BL17","barley+lupins"
3.15,4,"BL17","barley+lupins"
3.57,5,"BL17","barley+lupins"
3.23,6,"BL17","barley+lupins"
3.1,7,"BL17","barley+lupins"
3.3,8,"BL17","barley+lupins"
3.6,9,"BL17","barley+lupins"
3.74,10,"BL17","barley+lupins"
3.55,11,"BL17","barley+lupins"
3.66,12,"BL17","barley+lupins"
3.68,13,"BL17","barley+lupins"
3.81,14,"BL17","barley+lupins"
3.97,15,"BL17","barley+lupins"
3.78,16,"BL17","barley+lupins"
3.41,17,"BL17","barley+lupins"
3.15,18,"BL17","barley+lupins"
3.32,19,"BL17","barley+lupins"
3.27,1,"BL18","barley+lupins"
3.1,2,"BL18","barley+lupins"
3.14,3,"BL18","barley+lupins"
2.8,4,"BL18","barley+lupins"
3.34,5,"BL18","barley+lupins"
3.11,6,"BL18","barley+lupins"
3.17,7,"BL18","barley+lupins"
3.15,8,"BL18","barley+lupins"
3.52,9,"BL18","barley+lupins"
3.35,10,"BL18","barley+lupins"
3.3,11,"BL18","barley+lupins"
3.55,12,"BL18","barley+lupins"
3.11,14,"BL18","barley+lupins"
2.94,15,"BL18","barley+lupins"
3.25,16,"BL18","barley+lupins"
3.05,17,"BL18","barley+lupins"
2.95,18,"BL18","barley+lupins"
3.27,1,"BL19","barley+lupins"
3.4,2,"BL19","barley+lupins"
3.5,3,"BL19","barley+lupins"
3.38,4,"BL19","barley+lupins"
3.29,5,"BL19","barley+lupins"
3.6,6,"BL19","barley+lupins"
3.5,7,"BL19","barley+lupins"
3.33,8,"BL19","barley+lupins"
3.66,9,"BL19","barley+lupins"
3.68,10,"BL19","barley+lupins"
3.2,11,"BL19","barley+lupins"
3.1,12,"BL19","barley+lupins"
3.32,13,"BL19","barley+lupins"
3.26,14,"BL19","barley+lupins"
3.08,15,"BL19","barley+lupins"
3.97,1,"BL20","barley+lupins"
3.6,2,"BL20","barley+lupins"
3.5,3,"BL20","barley+lupins"
3.5,4,"BL20","barley+lupins"
3.58,5,"BL20","barley+lupins"
3.58,6,"BL20","barley+lupins"
3.57,7,"BL20","barley+lupins"
3.65,8,"BL20","barley+lupins"
3.71,9,"BL20","barley+lupins"
3.37,10,"BL20","barley+lupins"
3.15,11,"BL20","barley+lupins"
3.2,12,"BL20","barley+lupins"
3.32,13,"BL20","barley+lupins"
3.01,14,"BL20","barley+lupins"
3.31,1,"BL21","barley+lupins"
3.42,2,"BL21","barley+lupins"
3.24,3,"BL21","barley+lupins"
3.38,4,"BL21","barley+lupins"
3.39,5,"BL21","barley+lupins"
3.7,6,"BL21","barley+lupins"
3.47,7,"BL21","barley+lupins"
3.49,8,"BL21","barley+lupins"
3.64,9,"BL21","barley+lupins"
3.5,10,"BL21","barley+lupins"
3.27,11,"BL21","barley+lupins"
2.95,12,"BL21","barley+lupins"
3.04,13,"BL21","barley+lupins"
3.21,14,"BL21","barley+lupins"
3.04,15,"BL21","barley+lupins"
4.12,1,"BL22","barley+lupins"
3.25,2,"BL22","barley+lupins"
3.14,3,"BL22","barley+lupins"
3,4,"BL22","barley+lupins"
3.2,5,"BL22","barley+lupins"
3.55,6,"BL22","barley+lupins"
3.45,7,"BL22","barley+lupins"
3.63,8,"BL22","barley+lupins"
3.5,9,"BL22","barley+lupins"
3.9,10,"BL22","barley+lupins"
3.3,11,"BL22","barley+lupins"
3.7,12,"BL22","barley+lupins"
3.92,13,"BL22","barley+lupins"
3.87,14,"BL22","barley+lupins"
3.25,15,"BL22","barley+lupins"
3.12,16,"BL22","barley+lupins"
3.04,17,"BL22","barley+lupins"
3.45,18,"BL22","barley+lupins"
3.38,19,"BL22","barley+lupins"
3.92,1,"BL23","barley+lupins"
3.55,2,"BL23","barley+lupins"
3.74,3,"BL23","barley+lupins"
3.46,4,"BL23","barley+lupins"
3.45,5,"BL23","barley+lupins"
3.48,6,"BL23","barley+lupins"
3.26,7,"BL23","barley+lupins"
3.6,8,"BL23","barley+lupins"
3.5,9,"BL23","barley+lupins"
2.86,10,"BL23","barley+lupins"
3.65,11,"BL23","barley+lupins"
3.17,12,"BL23","barley+lupins"
3.18,13,"BL23","barley+lupins"
3.05,14,"BL23","barley+lupins"
3.78,1,"BL24","barley+lupins"
3.4,2,"BL24","barley+lupins"
3.17,3,"BL24","barley+lupins"
3.28,4,"BL24","barley+lupins"
3.27,5,"BL24","barley+lupins"
3.69,6,"BL24","barley+lupins"
3.24,7,"BL24","barley+lupins"
3.3,8,"BL24","barley+lupins"
3.24,9,"BL24","barley+lupins"
2.91,10,"BL24","barley+lupins"
3,11,"BL24","barley+lupins"
2.85,12,"BL24","barley+lupins"
3.41,13,"BL24","barley+lupins"
3.3,14,"BL24","barley+lupins"
3.22,15,"BL24","barley+lupins"
3.55,16,"BL24","barley+lupins"
3.62,17,"BL24","barley+lupins"
3.59,18,"BL24","barley+lupins"
3.45,19,"BL24","barley+lupins"
4,1,"BL25","barley+lupins"
3.74,2,"BL25","barley+lupins"
3.48,3,"BL25","barley+lupins"
3.75,4,"BL25","barley+lupins"
3.78,5,"BL25","barley+lupins"
3.77,6,"BL25","barley+lupins"
3.7,7,"BL25","barley+lupins"
3.91,8,"BL25","barley+lupins"
3.94,9,"BL25","barley+lupins"
3.94,10,"BL25","barley+lupins"
3.1,11,"BL25","barley+lupins"
3.1,12,"BL25","barley+lupins"
3.3,13,"BL25","barley+lupins"
3.27,14,"BL25","barley+lupins"
4.37,1,"BL26","barley+lupins"
4.06,2,"BL26","barley+lupins"
3.77,3,"BL26","barley+lupins"
3.4,4,"BL26","barley+lupins"
3.3,5,"BL26","barley+lupins"
3.27,6,"BL26","barley+lupins"
3.05,7,"BL26","barley+lupins"
3.1,8,"BL26","barley+lupins"
3.72,9,"BL26","barley+lupins"
3.25,10,"BL26","barley+lupins"
3.55,11,"BL26","barley+lupins"
3.7,12,"BL26","barley+lupins"
3.65,13,"BL26","barley+lupins"
3.8,14,"BL26","barley+lupins"
3.78,15,"BL26","barley+lupins"
4.08,16,"BL26","barley+lupins"
4.1,17,"BL26","barley+lupins"
3.57,18,"BL26","barley+lupins"
3.79,1,"BL27","barley+lupins"
4.07,2,"BL27","barley+lupins"
3.35,3,"BL27","barley+lupins"
3.46,4,"BL27","barley+lupins"
3.2,5,"BL27","barley+lupins"
3.99,6,"BL27","barley+lupins"
3.54,7,"BL27","barley+lupins"
3.25,9,"BL27","barley+lupins"
3.3,10,"BL27","barley+lupins"
3.18,11,"BL27","barley+lupins"
3.21,12,"BL27","barley+lupins"
3.75,13,"BL27","barley+lupins"
3.67,14,"BL27","barley+lupins"
3.77,15,"BL27","barley+lupins"
3.76,16,"BL27","barley+lupins"
3.75,17,"BL27","barley+lupins"
3.92,18,"BL27","barley+lupins"
3.5,19,"BL27","barley+lupins"
3.69,1,"L01","lupins"
3.38,2,"L01","lupins"
3,3,"L01","lupins"
3.5,4,"L01","lupins"
3.09,5,"L01","lupins"
3.3,6,"L01","lupins"
3.07,7,"L01","lupins"
3.22,8,"L01","lupins"
2.97,9,"L01","lupins"
3.6,10,"L01","lupins"
3.42,11,"L01","lupins"
3.59,12,"L01","lupins"
3.77,13,"L01","lupins"
3.74,14,"L01","lupins"
3.7,15,"L01","lupins"
3.78,16,"L01","lupins"
3.78,17,"L01","lupins"
3.77,18,"L01","lupins"
3.53,19,"L01","lupins"
4.2,1,"L02","lupins"
3.35,2,"L02","lupins"
3.37,3,"L02","lupins"
3.07,4,"L02","lupins"
2.82,5,"L02","lupins"
3.05,6,"L02","lupins"
3.12,7,"L02","lupins"
2.85,8,"L02","lupins"
3.2,9,"L02","lupins"
3.38,10,"L02","lupins"
3.25,11,"L02","lupins"
3.26,12,"L02","lupins"
3.3,13,"L02","lupins"
3.17,14,"L02","lupins"
3.4,15,"L02","lupins"
3.41,16,"L02","lupins"
3.28,17,"L02","lupins"
3.42,18,"L02","lupins"
3.25,19,"L02","lupins"
3.31,1,"L03","lupins"
3.04,2,"L03","lupins"
2.8,3,"L03","lupins"
3.17,4,"L03","lupins"
2.92,5,"L03","lupins"
2.84,6,"L03","lupins"
2.87,7,"L03","lupins"
3.13,8,"L03","lupins"
2.87,9,"L03","lupins"
3.05,10,"L03","lupins"
3,11,"L03","lupins"
3.26,12,"L03","lupins"
3.22,13,"L03","lupins"
3.31,14,"L03","lupins"
3.2,15,"L03","lupins"
3.18,16,"L03","lupins"
3.09,17,"L03","lupins"
3.3,18,"L03","lupins"
3.12,19,"L03","lupins"
3.13,1,"L04","lupins"
3.34,2,"L04","lupins"
3.34,3,"L04","lupins"
3.25,4,"L04","lupins"
2.79,5,"L04","lupins"
3,6,"L04","lupins"
3.11,7,"L04","lupins"
3.27,8,"L04","lupins"
3.59,9,"L04","lupins"
3.28,10,"L04","lupins"
3.49,11,"L04","lupins"
3.6,12,"L04","lupins"
3.63,13,"L04","lupins"
3.6,14,"L04","lupins"
3.6,15,"L04","lupins"
3.1,16,"L04","lupins"
3.38,17,"L04","lupins"
3.34,18,"L04","lupins"
3.03,19,"L04","lupins"
3.73,1,"L05","lupins"
3.61,2,"L05","lupins"
3.82,3,"L05","lupins"
3.61,4,"L05","lupins"
3.45,5,"L05","lupins"
3.36,6,"L05","lupins"
3.02,7,"L05","lupins"
3.37,8,"L05","lupins"
3.44,9,"L05","lupins"
3,10,"L05","lupins"
3.42,11,"L05","lupins"
3.18,12,"L05","lupins"
3.37,13,"L05","lupins"
3.45,14,"L05","lupins"
3.64,15,"L05","lupins"
3.68,16,"L05","lupins"
3.56,17,"L05","lupins"
3.63,18,"L05","lupins"
3.46,19,"L05","lupins"
4.32,1,"L06","lupins"
3.7,2,"L06","lupins"
3.62,3,"L06","lupins"
3.5,4,"L06","lupins"
3.57,5,"L06","lupins"
3.28,6,"L06","lupins"
3.38,7,"L06","lupins"
3.4,8,"L06","lupins"
3.33,9,"L06","lupins"
3.45,10,"L06","lupins"
3.22,11,"L06","lupins"
3.28,12,"L06","lupins"
3.24,13,"L06","lupins"
2.93,14,"L06","lupins"
3.04,1,"L07","lupins"
2.89,2,"L07","lupins"
2.78,3,"L07","lupins"
2.84,4,"L07","lupins"
2.61,5,"L07","lupins"
3,6,"L07","lupins"
3.08,7,"L07","lupins"
3.12,8,"L07","lupins"
2.8,9,"L07","lupins"
3.25,10,"L07","lupins"
3.13,11,"L07","lupins"
3.15,12,"L07","lupins"
3.04,13,"L07","lupins"
2.95,14,"L07","lupins"
3.08,15,"L07","lupins"
2.76,16,"L07","lupins"
2.89,17,"L07","lupins"
2.75,18,"L07","lupins"
2.66,19,"L07","lupins"
3.84,1,"L08","lupins"
3.51,2,"L08","lupins"
3.39,3,"L08","lupins"
2.88,4,"L08","lupins"
3.41,5,"L08","lupins"
3.49,6,"L08","lupins"
3.3,7,"L08","lupins"
3.37,8,"L08","lupins"
3.47,9,"L08","lupins"
3.3,10,"L08","lupins"
3.21,11,"L08","lupins"
3.64,12,"L08","lupins"
3.55,13,"L08","lupins"
3.43,14,"L08","lupins"
3.17,15,"L08","lupins"
3.23,16,"L08","lupins"
3.15,17,"L08","lupins"
2.95,18,"L08","lupins"
3.98,1,"L09","lupins"
3.3,2,"L09","lupins"
3.02,3,"L09","lupins"
2.99,4,"L09","lupins"
2.84,5,"L09","lupins"
2.92,6,"L09","lupins"
3.08,7,"L09","lupins"
2.85,8,"L09","lupins"
3.17,9,"L09","lupins"
3.15,10,"L09","lupins"
3.15,11,"L09","lupins"
2.87,12,"L09","lupins"
3.07,13,"L09","lupins"
3.05,14,"L09","lupins"
3.1,15,"L09","lupins"
3.21,16,"L09","lupins"
3.13,17,"L09","lupins"
3.17,18,"L09","lupins"
2.78,19,"L09","lupins"
4.18,1,"L10","lupins"
4.12,2,"L10","lupins"
3.84,3,"L10","lupins"
3.65,4,"L10","lupins"
3.65,5,"L10","lupins"
3.54,6,"L10","lupins"
3.52,7,"L10","lupins"
3.41,8,"L10","lupins"
3.44,9,"L10","lupins"
3.32,10,"L10","lupins"
3.23,11,"L10","lupins"
2.7,12,"L10","lupins"
3.03,13,"L10","lupins"
2.88,14,"L10","lupins"
2.68,15,"L10","lupins"
4.2,1,"L11","lupins"
3.4,2,"L11","lupins"
3.55,3,"L11","lupins"
3.45,4,"L11","lupins"
3.45,5,"L11","lupins"
3.3,6,"L11","lupins"
3.25,7,"L11","lupins"
3.43,8,"L11","lupins"
3.38,9,"L11","lupins"
3.07,10,"L11","lupins"
2.94,11,"L11","lupins"
3.17,12,"L11","lupins"
3.18,13,"L11","lupins"
3,14,"L11","lupins"
4.1,1,"L12","lupins"
3.59,2,"L12","lupins"
3.52,3,"L12","lupins"
3.43,4,"L12","lupins"
3.33,6,"L12","lupins"
3.57,7,"L12","lupins"
3.9,8,"L12","lupins"
3.74,9,"L12","lupins"
3.51,10,"L12","lupins"
3.29,11,"L12","lupins"
3.31,12,"L12","lupins"
3.31,13,"L12","lupins"
3.22,14,"L12","lupins"
3.25,1,"L13","lupins"
3.75,2,"L13","lupins"
3.42,3,"L13","lupins"
3.38,4,"L13","lupins"
3.52,5,"L13","lupins"
2.72,6,"L13","lupins"
3.38,7,"L13","lupins"
3.75,8,"L13","lupins"
3.9,9,"L13","lupins"
3.76,10,"L13","lupins"
4.22,11,"L13","lupins"
3.14,12,"L13","lupins"
3.3,13,"L13","lupins"
3.35,14,"L13","lupins"
3.17,15,"L13","lupins"
3.34,1,"L14","lupins"
3,2,"L14","lupins"
3.1,3,"L14","lupins"
3.31,4,"L14","lupins"
3.3,5,"L14","lupins"
3.26,6,"L14","lupins"
3,7,"L14","lupins"
3.12,8,"L14","lupins"
3,9,"L14","lupins"
2.45,10,"L14","lupins"
2.55,11,"L14","lupins"
2.97,12,"L14","lupins"
2.79,13,"L14","lupins"
2.88,14,"L14","lupins"
3.5,1,"L15","lupins"
3.35,2,"L15","lupins"
3.05,3,"L15","lupins"
2.92,4,"L15","lupins"
2.83,5,"L15","lupins"
3.15,6,"L15","lupins"
3.03,7,"L15","lupins"
2.95,8,"L15","lupins"
3.35,9,"L15","lupins"
3.11,10,"L15","lupins"
2.57,11,"L15","lupins"
2.67,12,"L15","lupins"
3.04,13,"L15","lupins"
3.05,14,"L15","lupins"
2.87,15,"L15","lupins"
4.13,1,"L16","lupins"
3.12,2,"L16","lupins"
2.96,3,"L16","lupins"
2.86,4,"L16","lupins"
2.74,5,"L16","lupins"
3.24,6,"L16","lupins"
3.06,7,"L16","lupins"
2.86,8,"L16","lupins"
2.9,9,"L16","lupins"
3.2,10,"L16","lupins"
3.02,11,"L16","lupins"
2.87,12,"L16","lupins"
3.2,13,"L16","lupins"
3.14,14,"L16","lupins"
2.84,15,"L16","lupins"
2.75,16,"L16","lupins"
2.96,17,"L16","lupins"
2.9,18,"L16","lupins"
2.71,19,"L16","lupins"
3.21,1,"L17","lupins"
3.52,2,"L17","lupins"
3.43,3,"L17","lupins"
3.45,4,"L17","lupins"
3.48,5,"L17","lupins"
4.3,6,"L17","lupins"
3.96,9,"L17","lupins"
3.57,11,"L17","lupins"
3.29,12,"L17","lupins"
3.52,13,"L17","lupins"
3.35,14,"L17","lupins"
3.2,15,"L17","lupins"
3.9,1,"L18","lupins"
3.19,2,"L18","lupins"
3.53,3,"L18","lupins"
3.45,4,"L18","lupins"
3.31,5,"L18","lupins"
3.45,6,"L18","lupins"
2.83,7,"L18","lupins"
3.5,8,"L18","lupins"
3.6,9,"L18","lupins"
3.76,10,"L18","lupins"
3.6,11,"L18","lupins"
3.18,12,"L18","lupins"
3,13,"L18","lupins"
3.29,14,"L18","lupins"
3.15,15,"L18","lupins"
2.96,16,"L18","lupins"
3.5,1,"L19","lupins"
3.12,2,"L19","lupins"
3.33,3,"L19","lupins"
3.22,4,"L19","lupins"
3.2,5,"L19","lupins"
2.82,6,"L19","lupins"
2.74,7,"L19","lupins"
2.77,8,"L19","lupins"
3.02,9,"L19","lupins"
2.8,10,"L19","lupins"
3.08,11,"L19","lupins"
3.04,12,"L19","lupins"
3.17,13,"L19","lupins"
3.26,14,"L19","lupins"
3.51,15,"L19","lupins"
3.3,16,"L19","lupins"
3.26,17,"L19","lupins"
3.7,18,"L19","lupins"
3.4,19,"L19","lupins"
4.1,1,"L20","lupins"
3.42,2,"L20","lupins"
3.58,3,"L20","lupins"
3.11,4,"L20","lupins"
3.06,5,"L20","lupins"
3.1,6,"L20","lupins"
3.13,7,"L20","lupins"
3.01,8,"L20","lupins"
3.05,9,"L20","lupins"
3.05,10,"L20","lupins"
2.88,11,"L20","lupins"
3.52,12,"L20","lupins"
3.58,13,"L20","lupins"
3.36,14,"L20","lupins"
3.4,15,"L20","lupins"
3.58,16,"L20","lupins"
3.19,17,"L20","lupins"
3.29,18,"L20","lupins"
3.65,19,"L20","lupins"
2.69,1,"L21","lupins"
3.39,2,"L21","lupins"
3.2,3,"L21","lupins"
3.06,4,"L21","lupins"
3.46,5,"L21","lupins"
3.14,6,"L21","lupins"
3.05,7,"L21","lupins"
2.94,8,"L21","lupins"
2.88,9,"L21","lupins"
3,10,"L21","lupins"
3.25,11,"L21","lupins"
3.38,12,"L21","lupins"
3.2,13,"L21","lupins"
3.13,14,"L21","lupins"
3.27,15,"L21","lupins"
3.42,16,"L21","lupins"
3.04,17,"L21","lupins"
3.2,18,"L21","lupins"
3.52,19,"L21","lupins"
4.3,1,"L22","lupins"
3.37,2,"L22","lupins"
3.47,3,"L22","lupins"
3.37,4,"L22","lupins"
3.1,5,"L22","lupins"
3.64,6,"L22","lupins"
3.55,8,"L22","lupins"
3.6,9,"L22","lupins"
3.55,10,"L22","lupins"
3.45,11,"L22","lupins"
3.59,12,"L22","lupins"
3.75,13,"L22","lupins"
3.75,14,"L22","lupins"
3.18,15,"L22","lupins"
2.92,16,"L22","lupins"
3.32,17,"L22","lupins"
3.31,18,"L22","lupins"
3.18,19,"L22","lupins"
4.06,1,"L23","lupins"
3.85,2,"L23","lupins"
3.93,3,"L23","lupins"
4,4,"L23","lupins"
4.2,5,"L23","lupins"
3.9,6,"L23","lupins"
3.65,7,"L23","lupins"
4.13,8,"L23","lupins"
3.84,9,"L23","lupins"
3.46,10,"L23","lupins"
3.22,11,"L23","lupins"
3.33,12,"L23","lupins"
3.37,13,"L23","lupins"
3.2,14,"L23","lupins"
3.88,1,"L24","lupins"
3.81,2,"L24","lupins"
3.44,3,"L24","lupins"
3.14,4,"L24","lupins"
3.1,5,"L24","lupins"
3.35,6,"L24","lupins"
3.27,7,"L24","lupins"
3.1,8,"L24","lupins"
3,9,"L24","lupins"
3.12,10,"L24","lupins"
3.15,11,"L24","lupins"
2.9,12,"L24","lupins"
3.51,13,"L24","lupins"
3.21,14,"L24","lupins"
3.4,15,"L24","lupins"
3.49,16,"L24","lupins"
3.6,17,"L24","lupins"
3.45,18,"L24","lupins"
3.5,19,"L24","lupins"
3.95,1,"L25","lupins"
3.22,2,"L25","lupins"
3.38,3,"L25","lupins"
3.2,4,"L25","lupins"
3.4,5,"L25","lupins"
3.34,6,"L25","lupins"
3.2,7,"L25","lupins"
3.5,8,"L25","lupins"
3.35,9,"L25","lupins"
3.25,10,"L25","lupins"
2.97,11,"L25","lupins"
3.14,12,"L25","lupins"
3.2,13,"L25","lupins"
3.04,14,"L25","lupins"
3.67,1,"L26","lupins"
3.26,2,"L26","lupins"
3.35,3,"L26","lupins"
3.28,4,"L26","lupins"
2.94,5,"L26","lupins"
3.3,6,"L26","lupins"
3.27,7,"L26","lupins"
3.61,8,"L26","lupins"
3.6,9,"L26","lupins"
3.78,10,"L26","lupins"
3.55,11,"L26","lupins"
3.55,12,"L26","lupins"
4,13,"L26","lupins"
3.87,14,"L26","lupins"
3.71,15,"L26","lupins"
3.47,16,"L26","lupins"
3.15,17,"L26","lupins"
3.35,18,"L26","lupins"
3.09,19,"L26","lupins"
4.27,1,"L27","lupins"
3.95,2,"L27","lupins"
3.85,3,"L27","lupins"
3.85,4,"L27","lupins"
3.95,5,"L27","lupins"
3.45,6,"L27","lupins"
3.7,7,"L27","lupins"
3.95,8,"L27","lupins"
3.92,9,"L27","lupins"
3.34,10,"L27","lupins"
3.45,11,"L27","lupins"
3.19,12,"L27","lupins"
3.67,13,"L27","lupins"
3.25,14,"L27","lupins"
